"PLACE","YEAR","IDNO","DAYNR","PERIOD","TYPE","SPECIES","SEX","MOT/CALF","SIZE","SIZECAT","DEPTH1","DEPTH2","SURF","SURF01","SURF02","SUM","BIN01","BIN02","BIN03","BIN04","BIN05","BIN06","BIN07","BIN08","BIN09","BIN10","BIN11","BIN12","BIN13","BIN14","DIVES","DIST","TAD","SPEED","DIVE/H/6H","DIVE/H/24H","MAXDEPTH","WARN"
"CRE",2000,20691,235.25,0.25,2,"NW",2,0,400,2,8,8,,,,269,225,21,2,19,2,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,235.50,0.50,0,"NW",2,0,400,2,8,8,8550,39.583,39.583,53,22,10,7,8,6,0,0,0,0,0,0,0,0,0,,,,,8.833,,,
"CRE",2000,20691,235.50,0.50,1,"NW",2,0,400,2,8,8,,,,53,20,5,10,9,6,3,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,235.50,0.50,2,"NW",2,0,400,2,8,8,,,,239,231,7,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,235.75,0.75,0,"NW",2,0,400,2,8,8,4950,22.917,22.917,100,95,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,16.667,,,?,
"CRE",2000,20691,235.75,0.75,1,"NW",2,0,400,2,8,8,,,,100,78,14,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,235.75,0.75,2,"NW",2,0,400,2,8,8,,,,240,238,2,0,0,0,0,0,0,0,0,0,0,0,0,394,,24,,,16.417,80,?,
"CRE",2000,20691,236.00,0.00,0,"NW",2,0,400,2,8,8,16560,76.667,76.667,37,4,9,8,16,0,0,0,0,0,0,0,0,0,0,,,,,6.167,,,
"CRE",2000,20691,236.00,0.00,1,"NW",2,0,400,2,8,8,,,,37,2,6,9,17,3,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,236.00,0.00,2,"NW",2,0,400,2,8,8,,,,358,223,94,31,10,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,236.25,0.25,0,"NW",2,0,400,2,8,8,12150,56.250,56.250,108,89,14,5,0,0,0,0,0,0,0,0,0,0,0,,,,,18.000,,,?,
"CRE",2000,20691,236.25,0.25,1,"NW",2,0,400,2,8,8,,,,108,64,28,11,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,236.25,0.25,2,"NW",2,0,400,2,8,8,,,,269,254,14,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,236.50,0.50,0,"NW",2,0,400,2,8,8,17550,81.250,81.250,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1.667,,,
"CRE",2000,20691,236.50,0.50,1,"NW",2,0,400,2,8,8,,,,10,6,2,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,236.50,0.50,2,"NW",2,0,400,2,8,8,,,,239,231,7,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,236.75,0.75,0,"NW",2,0,400,2,8,8,17550,81.250,81.250,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2.667,,,
"CRE",2000,20691,236.75,0.75,1,"NW",2,0,400,2,8,8,,,,16,3,6,5,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,236.75,0.75,2,"NW",2,0,400,2,8,8,,,,240,240,0,0,0,0,0,0,0,0,0,0,0,0,0,171,,24,,,7.125,80,
"CRE",2000,20691,237.00,0.00,0,"NW",2,0,400,2,8,8,,,,51,39,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,8.500,,,
"CRE",2000,20691,237.00,0.00,1,"NW",2,0,400,2,8,8,,,,51,23,16,10,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,237.00,0.00,2,"NW",2,0,400,2,8,8,,,,270,253,16,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,237.25,0.25,0,"NW",2,0,400,2,8,8,21240,98.333,98.333,40,32,6,2,0,0,0,0,0,0,0,0,0,0,0,,,,,6.667,,,
"CRE",2000,20691,237.25,0.25,1,"NW",2,0,400,2,8,8,,,,40,15,5,10,7,2,1,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,237.25,0.25,2,"NW",2,0,400,2,8,8,,,,270,254,14,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,237.50,0.50,0,"NW",2,0,400,2,8,8,21240,98.333,98.333,57,42,9,2,4,0,0,0,0,0,0,0,0,0,0,,,,,9.500,,,
"CRE",2000,20691,237.50,0.50,1,"NW",2,0,400,2,8,8,,,,57,14,18,13,8,3,1,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,237.50,0.50,2,"NW",2,0,400,2,8,8,,,,270,230,13,14,13,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,237.75,0.75,0,"NW",2,0,400,2,8,8,19440,90.000,90.000,59,58,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,9.833,,,
"CRE",2000,20691,237.75,0.75,1,"NW",2,0,400,2,8,8,,,,59,33,17,8,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,237.75,0.75,2,"NW",2,0,400,2,8,8,,,,239,238,1,0,0,0,0,0,0,0,0,0,0,0,0,207,,24,,,8.625,72,
"CRE",2000,20691,238.00,0.00,0,"NW",2,0,400,2,8,8,,,,42,35,6,1,0,0,0,0,0,0,0,0,0,0,0,,,,,7.000,,,
"CRE",2000,20691,238.00,0.00,1,"NW",2,0,400,2,8,8,,,,42,23,11,6,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,238.00,0.00,2,"NW",2,0,400,2,8,8,,,,239,228,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,238.25,0.25,0,"NW",2,0,400,2,8,8,13050,60.417,60.417,35,22,5,4,4,0,0,0,0,0,0,0,0,0,0,,,,,5.833,,,
"CRE",2000,20691,238.25,0.25,1,"NW",2,0,400,2,8,8,,,,35,13,3,8,7,4,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,238.25,0.25,2,"NW",2,0,400,2,8,8,,,,270,226,24,13,7,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,238.50,0.50,0,"NW",2,0,400,2,8,8,20250,93.750,93.750,57,42,9,2,4,0,0,0,0,0,0,0,0,0,0,,,,,9.500,,,
"CRE",2000,20691,238.50,0.50,1,"NW",2,0,400,2,8,8,,,,57,14,18,13,8,3,1,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,238.50,0.50,2,"NW",2,0,400,2,8,8,,,,270,230,13,14,13,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,238.75,0.75,0,"NW",2,0,400,2,8,8,14940,69.167,69.167,50,15,24,10,1,0,0,0,0,0,0,0,0,0,0,,,,,8.333,,,
"CRE",2000,20691,238.75,0.75,1,"NW",2,0,400,2,8,8,,,,50,7,7,8,14,14,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,238.75,0.75,2,"NW",2,0,400,2,8,8,,,,432,236,181,15,0,0,0,0,0,0,0,0,0,0,0,184,,24,,,7.667,72,
"CRE",2000,20691,239.00,0.00,0,"NW",2,0,400,2,8,8,,,,61,57,3,1,0,0,0,0,0,0,0,0,0,0,0,,,,,10.167,,,
"CRE",2000,20691,239.00,0.00,1,"NW",2,0,400,2,8,8,,,,61,19,14,25,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,239.00,0.00,2,"NW",2,0,400,2,8,8,,,,238,233,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,239.25,0.25,0,"NW",2,0,400,2,8,8,10350,47.917,47.917,76,72,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,12.667,,,
"CRE",2000,20691,239.25,0.25,1,"NW",2,0,400,2,8,8,,,,76,33,18,20,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,
